SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,3,5,1,0.7,sqrt,96.42326859187324,93.98766700924973,94.82950301166275,91.54191973379359
1,5,3,5,1,0.7,log2,96.38755430615896,93.8458376156218,94.8130956413972,91.36394811845572
2,5,3,5,1,0.9,sqrt,96.99539994888833,94.70606372045222,95.6682228955174,92.58286196707472
3,5,3,5,1,0.9,log2,96.56638129312549,95.13257965056526,95.05927526531173,93.14658276025366
4,5,3,5,3,0.7,sqrt,96.49469716330181,94.56012332990748,94.96895624966174,92.40021674562406
5,5,3,5,3,0.7,log2,96.31599795553282,93.41726618705036,94.71558087356769,90.79655958107956
6,5,3,5,3,0.9,sqrt,96.28009200102224,94.99280575539568,94.67090689780328,92.87867333125067
7,5,3,5,3,0.9,log2,96.03009200102223,94.13052415210687,94.31032106345295,91.7641904750791
8,5,3,6,1,0.7,sqrt,96.85260669562994,94.41726618705036,95.47109020305238,92.22122341479881
9,5,3,6,1,0.7,log2,97.21019677996422,93.56012332990751,95.9720786323258,90.83434485791206
10,5,3,6,1,0.9,sqrt,97.53200868898544,94.98972250770812,96.42024600922248,92.8879772411866
11,5,3,6,1,0.9,log2,97.42486583184258,94.84686536485097,96.27276135389889,92.73228942813917
12,5,3,6,3,0.7,sqrt,96.38729874776386,94.70298047276465,94.82888127310514,92.58155019165845
13,5,3,6,3,0.7,log2,96.10164835164834,93.70195272353546,94.39254763741921,91.04118947977271
14,5,3,6,3,0.9,sqrt,96.92403526705853,94.56115107913668,95.55479573045395,92.30052929743563
15,5,3,6,3,0.9,log2,96.5304114490161,93.41726618705036,94.98230521923661,90.7217511728694
16,5,3,7,1,0.7,sqrt,97.35330948121644,94.9917780061665,96.15844078294344,92.77857409481149
17,5,3,7,1,0.7,log2,97.35318170201892,95.56217882836589,96.15167005880674,93.7272732597832
18,5,3,7,1,0.9,sqrt,97.38908765652951,95.56320657759507,96.20979999946417,93.66842105263157
19,5,3,7,1,0.9,log2,97.5320725785842,95.41726618705036,96.39247873957153,93.4193109585558
20,5,3,7,3,0.7,sqrt,96.60235113723485,94.41932168550873,95.0474971759242,92.11469421703221
21,5,3,7,3,0.7,log2,96.31625351392795,94.2754367934224,94.63777541531739,91.8863566029265
22,5,3,7,3,0.9,sqrt,96.92397137745974,93.98869475847891,95.5156415607016,91.58359692133706
23,5,3,7,3,0.9,log2,96.3517761308459,93.98766700924975,94.73278292252492,91.4329903228029
24,5,3,8,1,0.7,sqrt,97.67531305903398,94.27440904419322,96.60412049569005,92.00571610665413
25,5,3,8,1,0.7,log2,97.56785075389726,93.56012332990751,96.45733457912596,90.70620752679544
26,5,3,8,1,0.9,sqrt,97.85388448760543,94.2754367934224,96.87430250619747,91.80417597351203
27,5,3,8,1,0.9,log2,97.88979044211601,95.13360739979446,96.9016522996283,93.02736457856312
28,5,3,8,3,0.7,sqrt,96.49501661129568,94.13257965056528,94.91125923885082,91.50861974240007
29,5,3,8,3,0.7,log2,96.5306670074112,94.13052415210687,94.98691820444799,91.65422593279736
30,5,3,8,3,0.9,sqrt,96.67371581906465,93.41726618705036,95.17370803554022,90.63095658641795
31,5,3,8,3,0.9,log2,97.03143368259649,94.56012332990748,95.68426058626291,92.28546182925864
32,5,3,9,1,0.7,sqrt,97.96141068234091,94.56217882836586,96.99262076283019,92.14165134318583
33,5,3,9,1,0.7,log2,97.78245591617684,94.41726618705036,96.74083769254267,92.06453013398828
34,5,3,9,1,0.9,sqrt,98.21166624073602,94.13257965056528,97.36937477017156,91.52082576678721
35,5,3,9,1,0.9,log2,98.17595195502172,94.27749229188078,97.32979648209039,91.66457380331673
36,5,3,9,3,0.7,sqrt,96.53073089700996,93.41829393627954,94.96610599528617,90.61394328266724
37,5,3,9,3,0.7,log2,96.745208280092,93.84686536485098,95.27663861965543,91.23979720920626
38,5,3,9,3,0.9,sqrt,97.10292614362382,94.41726618705036,95.78891228118734,92.13677106036862
39,5,3,9,3,0.9,log2,96.49508050089446,94.27852004110997,94.87140878582225,91.82926169264356
40,5,3,10,1,0.7,sqrt,97.81823409148991,93.41726618705036,96.78522532520223,90.43798185941043
41,5,3,10,1,0.7,log2,98.31912854587273,93.84789311408016,97.52088440413338,91.01428837991816
42,5,3,10,1,0.9,sqrt,98.42633529261435,93.70092497430626,97.66528221565902,90.73619066975823
43,5,3,10,1,0.9,log2,98.5694479938666,93.98766700924973,97.88003673309566,91.36331139437146
44,5,3,10,3,0.7,sqrt,96.53053922821364,92.70298047276466,94.98762880913434,89.76963038664623
45,5,3,10,3,0.7,log2,96.13723485816509,94.13257965056528,94.42099524187154,91.67711395687095
46,5,3,10,3,0.9,sqrt,97.38927932532584,94.2754367934224,96.17617283567877,91.69492463453665
47,5,3,10,3,0.9,log2,96.9956555072834,93.41623843782116,95.6288669669449,90.62421777221526
48,5,3,11,1,0.7,sqrt,98.31900076667519,93.84480986639261,97.51884958849504,91.15908631493835
49,5,3,11,1,0.7,log2,97.31759519550216,93.70298047276464,96.047857347766,91.03516740316445
50,5,3,11,1,0.9,sqrt,98.71230513672374,93.41726618705036,98.09184740827475,90.53717110278484
51,5,3,11,1,0.9,log2,98.53360592895477,93.84480986639258,97.82402288681234,91.24025622912738
52,5,3,11,3,0.7,sqrt,96.70943010477893,94.13360739979446,95.20198358350017,91.6777184941256
53,5,3,11,3,0.7,log2,96.3874904165602,94.56320657759507,94.77020171462152,92.22986687497965
54,5,3,11,3,0.9,sqrt,97.24603884487607,94.13257965056528,95.97809792903877,91.67205189768217
55,5,3,11,3,0.9,log2,97.28175313059033,93.56115107913669,96.0046517681154,90.72197481142994
56,5,3,12,1,0.7,sqrt,98.2830309225658,93.5590955806783,97.46227416447593,90.55038106955932
57,5,3,12,1,0.7,log2,98.39062100690008,93.27543679342241,97.61828422175407,90.26867866824004
58,5,3,12,1,0.9,sqrt,98.60503450038334,94.41932168550873,97.92759659147367,91.89717586562118
59,5,3,12,1,0.9,log2,98.56925632507028,93.8458376156218,97.8810288639315,91.42839672668316
60,5,3,12,3,0.7,sqrt,96.3874904165602,93.84789311408016,94.75624154759473,91.2274254506832
61,5,3,12,3,0.7,log2,96.31593406593406,93.56115107913669,94.66275719823022,90.91398036579044
62,5,3,12,3,0.9,sqrt,97.1746102734475,94.41726618705036,95.8899206727625,92.162268358537
63,5,3,12,3,0.9,log2,97.31746741630462,93.98869475847891,96.08024564216329,91.4472538735154
64,5,3,13,1,0.7,sqrt,98.13991822131356,94.42034943473793,97.25335333881432,91.88573328899234
65,5,3,13,1,0.7,log2,98.17601584462051,93.99075025693729,97.31389954599467,91.35261676136525
66,5,3,13,1,0.9,sqrt,98.78398926654741,94.9907502569373,98.19847201107876,92.7656488343531
67,5,3,13,1,0.9,log2,98.56938410426783,95.13463514902364,97.88741515210624,92.98788382662677
68,5,3,13,3,0.7,sqrt,96.53079478660874,93.41623843782116,94.9545364067457,90.67067771526209
69,5,3,13,3,0.7,log2,96.6022233580373,94.56115107913668,95.09966291891826,92.18953277599769
70,5,3,13,3,0.9,sqrt,97.24603884487605,93.56012332990751,95.96465102770907,90.62240640391778
71,5,3,13,3,0.9,log2,96.53047533861488,93.56217882836589,94.92917739947927,90.59318835109318
72,5,3,14,1,0.7,sqrt,98.17601584462051,93.41623843782116,97.30391042378879,90.6091598042726
73,5,3,14,1,0.7,log2,98.14068489649884,93.8458376156218,97.26806984732794,90.97087679302473
74,5,3,14,1,0.9,sqrt,98.7839892665474,93.41521068859197,98.19876578522434,90.51057947900054
75,5,3,14,1,0.9,log2,98.74801942243803,92.98972250770812,98.13699093434118,89.81188475733619
76,5,3,14,3,0.7,sqrt,96.24463327370304,94.56115107913668,94.5636351316471,92.39404721861295
77,5,3,14,3,0.7,log2,96.63787375415282,93.56012332990751,95.1066660867329,90.92255720206666
78,5,3,14,3,0.9,sqrt,97.13883209813442,93.27338129496403,95.84825233697234,90.49666160872587
79,5,3,14,3,0.9,log2,97.03130590339893,94.27440904419322,95.65645417856992,91.94074298949609
80,5,5,5,1,0.7,sqrt,96.56625351392793,94.56115107913668,95.05884214842169,92.312556450239
81,5,5,5,1,0.7,log2,96.6376820853565,94.13257965056528,95.1592151084647,91.6870906778553
82,5,5,5,1,0.9,sqrt,96.92390748786097,94.70503597122303,95.56351085760072,92.45702088044314
83,5,5,5,1,0.9,log2,96.92422693585483,93.98972250770811,95.51874086621496,91.32970189883008
