SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,3,5,1,0.7,sqrt,94.55912508544088,87.38026124818576,94.70879675612656,87.05120662462747
1,5,3,5,1,0.7,log2,95.03941672362724,88.14949201741655,95.17203042508034,88.6774397400018
2,5,3,5,1,0.9,sqrt,95.03713830029619,85.49346879535558,95.22506404592373,86.67999314294651
3,5,3,5,1,0.9,log2,95.51515151515153,86.63280116110306,95.62298010532956,87.26358348701943
4,5,3,5,3,0.7,sqrt,92.65254044201413,88.54136429608127,92.87455379419998,89.05371237129054
5,5,3,5,3,0.7,log2,93.5105946684894,88.1712626995646,93.6676015763285,88.89235840586649
6,5,3,5,3,0.9,sqrt,93.03440419229891,86.65457184325109,93.231112825976,87.29795495836858
7,5,3,5,3,0.9,log2,94.08430166324904,88.54862119013063,94.30476842278019,89.1995091597872
8,5,3,6,1,0.7,sqrt,95.8004101161996,87.40203193033382,95.85104481551221,88.03061090526123
9,5,3,6,1,0.7,log2,94.6552745500114,87.76487663280118,94.74625823384291,88.3617399549603
10,5,3,6,1,0.9,sqrt,96.1822738664844,86.61828737300435,96.27964133890615,87.35926142822696
11,5,3,6,1,0.9,log2,95.99316473000684,89.31785195936139,96.09889936733283,89.87418354314904
12,5,3,6,3,0.7,sqrt,93.22670312143998,87.02467343976778,93.34119550799261,87.31875167343148
13,5,3,6,3,0.7,log2,91.98769651401231,88.933236574746,92.25186662910086,89.42256650525945
14,5,3,6,3,0.9,sqrt,94.08339029391662,88.20029027576197,94.19129597035138,88.55856484713108
15,5,3,6,3,0.9,log2,95.419002050581,90.08708272859216,95.50695347918857,90.37608942781358
16,5,3,7,1,0.7,sqrt,95.79995443153338,91.21915820029028,95.88041264888305,91.49669104841519
17,5,3,7,1,0.7,log2,95.80132148553201,85.85631349782294,95.87621679720274,85.8613018884845
18,5,3,7,1,0.9,sqrt,96.46935520619732,86.66182873730044,96.5421721762222,87.05304928989139
19,5,3,7,1,0.9,log2,97.61540214171794,86.6255442670537,97.63283600396593,86.88900146346954
20,5,3,7,3,0.7,sqrt,94.18090681248576,88.54862119013063,94.2548775401565,88.83406262353631
21,5,3,7,3,0.7,log2,92.27158806106175,85.88534107402033,92.38092722470259,85.86456973597303
22,5,3,7,3,0.9,sqrt,95.03622693096378,88.15674891146588,95.14162065719844,88.43600454126769
23,5,3,7,3,0.9,log2,94.65709728867624,86.255442670537,94.71641213248499,86.28210516697884
24,5,3,8,1,0.7,sqrt,96.27660059239007,88.15674891146588,96.31319452681261,88.14972807097499
25,5,3,8,1,0.7,log2,96.56277056277057,88.16400580551523,96.60872953987267,88.36356764928193
26,5,3,8,1,0.9,sqrt,97.42401458190933,87.39477503628447,97.46307173487125,87.93141264663366
27,5,3,8,1,0.9,log2,97.13511050353155,88.9477503628447,97.18540256225879,89.50960165970308
28,5,3,8,3,0.7,sqrt,94.4652540442014,89.32510885341074,94.55833566324677,89.53067818913283
29,5,3,8,3,0.7,log2,93.70426065162908,86.24818577648767,93.74500454310659,86.52771541928416
30,5,3,8,3,0.9,sqrt,93.89382547277285,86.63280116110303,93.99844894718805,86.70009236046971
31,5,3,8,3,0.9,log2,94.17908407382092,87.41654571843253,94.2997894039016,87.97049924701193
32,5,3,9,1,0.7,sqrt,95.80132148553201,89.29608127721336,95.82364361608245,89.2033216988098
33,5,3,9,1,0.7,log2,96.08749145591251,88.54862119013063,96.13710124157986,89.04969351083837
34,5,3,9,1,0.9,sqrt,97.04306220095692,86.27721335268505,97.08455072079964,86.6520391888813
35,5,3,9,1,0.9,log2,97.42219184324448,89.32510885341074,97.41427831672607,89.54920724270569
36,5,3,9,3,0.7,sqrt,92.84301663249032,86.63280116110306,92.84207587342287,86.49123309801375
37,5,3,9,3,0.7,log2,91.41444520391889,86.63280116110306,91.50014790155493,87.00599393985688
38,5,3,9,3,0.9,sqrt,94.94326725905674,87.42380261248186,94.98850803787934,87.58452812880641
39,5,3,9,3,0.9,log2,94.17953975848712,86.2699564586357,94.3024654082366,86.98448843861985
40,5,3,10,1,0.7,sqrt,95.99179767600819,88.94049346879535,96.01820262985315,89.41351426712518
41,5,3,10,1,0.7,log2,96.18318523581681,86.25544267053702,96.2405550684936,86.73154827077369
42,5,3,10,1,0.9,sqrt,96.94873547505128,88.57039187227865,96.98165761593536,89.03245508729809
43,5,3,10,1,0.9,log2,97.80542264752793,88.14949201741655,97.81661870317264,88.72410538448274
44,5,3,10,3,0.7,sqrt,92.36500341763498,87.42380261248186,92.5529301545662,87.61509732097966
45,5,3,10,3,0.7,log2,92.17543859649122,87.39477503628447,92.2565059814476,87.61572103588911
46,5,3,10,3,0.9,sqrt,95.32604237867396,90.48621190130625,95.45420749590781,90.78547417494785
47,5,3,10,3,0.9,log2,95.13602187286398,86.6255442670537,95.19932478847105,87.46164556690873
48,5,3,11,1,0.7,sqrt,96.66119845067215,88.91146589259797,96.6702158390356,89.00308723793268
49,5,3,11,1,0.7,log2,96.75734791524265,88.91146589259797,96.78598220318338,89.18607731226953
50,5,3,11,1,0.9,sqrt,97.51834130781498,87.00290275761974,97.5385676639096,87.17297323295338
51,5,3,11,1,0.9,log2,97.70836181362498,86.26269956458636,97.71327450299762,87.00678395112335
52,5,3,11,3,0.7,sqrt,92.55593529277742,85.10885341074021,92.65928860114906,85.14157262796786
53,5,3,11,3,0.7,log2,93.7010708589656,88.56313497822931,93.84648114936054,88.86445629841857
54,5,3,11,3,0.9,sqrt,94.464342674869,92.00290275761974,94.56132804988769,92.25729158059985
55,5,3,11,3,0.9,log2,94.27568922305764,86.2699564586357,94.37372258863981,86.51566879358515
56,5,3,12,1,0.7,sqrt,95.80132148553201,84.35413642960812,95.82200316946282,84.75394474642594
57,5,3,12,1,0.7,log2,96.4688995215311,87.02467343976778,96.47327248668198,87.07796229901466
58,5,3,12,1,0.9,sqrt,97.42355889724313,88.54862119013063,97.437061959586,88.86366860547594
59,5,3,12,1,0.9,log2,97.23308270676692,88.9477503628447,97.2470978048235,89.03510064028508
60,5,3,12,3,0.7,sqrt,93.13328776486671,88.54862119013063,93.28080059431765,88.6935286935287
61,5,3,12,3,0.7,log2,92.65436318067898,85.50072568940493,92.71695670626477,85.70878986242867
62,5,3,12,3,0.9,sqrt,95.22989291410344,87.37300435413641,95.28753527342842,87.83982037837907
63,5,3,12,3,0.9,log2,93.991341991342,86.63280116110306,94.11628077807121,86.8793716316936
64,5,3,13,1,0.7,sqrt,96.66165413533834,88.14949201741655,96.69813104384576,88.2185941043084
65,5,3,13,1,0.7,log2,96.18364092048303,88.14949201741655,96.21667707892179,88.50963773069036
66,5,3,13,1,0.9,sqrt,97.32877648667122,88.9477503628447,97.36338466138899,89.33805980486
67,5,3,13,1,0.9,log2,98.0915926179084,90.09433962264151,98.09424934549065,90.5332948506595
68,5,3,13,3,0.7,sqrt,92.36591478696742,84.71698113207546,92.50348300183842,84.9651331393618
69,5,3,13,3,0.7,log2,92.94098883572568,88.17851959361394,93.12452699947961,88.82917951930972
70,5,3,13,3,0.9,sqrt,95.61266803372067,90.4499274310595,95.64595069094281,90.87512506933703
71,5,3,13,3,0.9,log2,94.17999544315335,90.05805515239477,94.2844832882367,90.13719771166579
72,5,3,14,1,0.7,sqrt,96.94600136705401,87.02467343976778,96.99240931697652,87.39350788352604
73,5,3,14,1,0.7,log2,95.99362041467305,88.15674891146588,95.96873695905342,88.04223538208
74,5,3,14,1,0.9,sqrt,97.80633401686035,85.89985486211901,97.83666950232923,86.25447910965151
75,5,3,14,1,0.9,log2,97.32695374800639,88.18577648766329,97.3373563422073,88.31234097079562
76,5,3,14,3,0.7,sqrt,93.32239690134425,88.933236574746,93.44909098144618,89.40989041917835
77,5,3,14,3,0.7,log2,93.41763499658236,86.23367198838898,93.5468459104166,86.42388308108389
78,5,3,14,3,0.9,sqrt,95.13374344953294,88.16400580551525,95.19214249490278,88.06103749499977
79,5,3,14,3,0.9,log2,93.98906356801093,88.933236574746,94.11354140786045,89.35305296207552
80,5,5,5,1,0.7,sqrt,93.7963089542037,87.01741654571842,93.9366182984206,87.41448361315175
81,5,5,5,1,0.7,log2,93.79539758487127,87.75036284470247,93.91745756389494,87.99440385301679
82,5,5,5,1,0.9,sqrt,94.84575074048757,86.63280116110306,94.92367923066392,87.31200633525334
83,5,5,5,1,0.9,log2,94.6552745500114,87.40203193033382,94.73128754928553,87.55898638706327
84,5,5,5,3,0.7,sqrt,92.94053315105947,85.10159651669085,93.08279184370332,85.78854613945892
85,5,5,5,3,0.7,log2,93.03622693096379,88.92597968069666,93.28875837103465,89.25654472315242
86,5,5,5,3,0.9,sqrt,95.13419913419915,86.64005805515238,95.24478782761385,87.0097097371852
87,5,5,5,3,0.9,log2,92.74960127591709,87.38026124818579,92.83967403794644,87.7095453566042
88,5,5,6,1,0.7,sqrt,95.22761449077238,88.56313497822931,95.32349514184449,88.90107606354002
89,5,5,6,1,0.7,log2,95.22852586010482,89.69521044992742,95.33668130498428,90.30308673968456
90,5,5,6,1,0.9,sqrt,95.03622693096376,88.94775036284472,95.18304088267942,89.69526607796011
91,5,5,6,1,0.9,log2,95.70562770562772,88.9477503628447,95.82251935856145,89.4063126740269
92,5,5,6,3,0.7,sqrt,92.08384597858283,82.04644412191584,92.29808046688086,81.45363408521304
93,5,5,6,3,0.7,log2,91.98769651401228,85.1233671988389,92.1338996957762,85.54424202992843
94,5,5,6,3,0.9,sqrt,94.94281157439053,88.18577648766329,95.01980182166362,88.63544462370128
95,5,5,6,3,0.9,log2,94.37001594896331,88.92597968069666,94.49426539532088,89.0067136083643
96,5,5,7,1,0.7,sqrt,95.60902255639098,88.17851959361394,95.59281398515589,88.45454545454545
97,5,5,7,1,0.7,log2,94.7505126452495,90.07256894049347,94.89844899361535,90.3282007752596
98,5,5,7,1,0.9,sqrt,96.46844383686488,87.77939042089986,96.48151785565273,87.81885040028146
99,5,5,7,1,0.9,log2,95.42036910457963,88.52685050798259,95.54061705208777,88.91870113565028
100,5,5,7,3,0.7,sqrt,92.7505126452495,86.2699564586357,92.88364425089206,86.25628155196196
101,5,5,7,3,0.7,log2,93.31875142401461,89.33962264150942,93.3394292880821,89.52102787490368
102,5,5,7,3,0.9,sqrt,95.51606288448393,88.92597968069666,95.60066000449382,89.16371709331028
103,5,5,7,3,0.9,log2,94.84666210982,88.54862119013063,94.91613988310426,88.86204146730462
104,5,5,8,1,0.7,sqrt,94.75187969924812,85.49346879535558,94.85639200817158,85.96298438403703
105,5,5,8,1,0.7,log2,94.94281157439053,88.15674891146588,95.05916480672137,88.93771067749134
106,5,5,8,1,0.9,sqrt,96.27933470038734,86.26269956458636,96.2992855304439,86.72831356157928
107,5,5,8,1,0.9,log2,96.47026657552973,85.48621190130625,96.47998197214248,85.29592476489029
108,5,5,8,3,0.7,sqrt,93.41672362724994,88.933236574746,93.4949302721383,89.47917851602745
109,5,5,8,3,0.7,log2,93.22533606744132,88.1712626995646,93.35204224249776,88.28506498384795
110,5,5,8,3,0.9,sqrt,94.65618591934381,86.9956458635704,94.74792463135812,87.7371610845295
111,5,5,8,3,0.9,log2,94.84711779448622,86.2699564586357,94.93805291688537,86.76401914792008
112,5,5,9,1,0.7,sqrt,95.51515151515153,86.24092888243833,95.52990550171924,86.51753574986596
113,5,5,9,1,0.7,log2,96.66119845067215,83.95500725689405,96.67341333893165,84.42820734163688
114,5,5,9,1,0.9,sqrt,96.08794714057872,86.25544267053702,96.12861941604984,86.75017192258572
115,5,5,9,1,0.9,log2,95.99134199134201,86.61828737300435,96.03100775193798,86.96956716446971
116,5,5,9,3,0.7,sqrt,94.18090681248576,87.7866473149492,94.27565023743276,88.21776663881927
117,5,5,9,3,0.7,log2,93.32102984734563,84.72423802612482,93.3850413422219,85.32545606637993
118,5,5,9,3,0.9,sqrt,95.1323763955343,87.02467343976778,95.226825428973,87.64180579953262
119,5,5,9,3,0.9,log2,94.56003645477331,87.02467343976778,94.67557407857156,87.57063549503756
120,5,5,10,1,0.7,sqrt,96.18364092048303,88.92597968069666,96.21004235486768,89.31224812339363
121,5,5,10,1,0.7,log2,95.99362041467305,89.70246734397678,96.01661503439063,90.03213470179998
122,5,5,10,1,0.9,sqrt,96.56550467076784,90.0798258345428,96.56950237730496,90.55570649259653
123,5,5,10,1,0.9,log2,96.94600136705401,85.10159651669085,96.95828039769289,85.20064837145273
124,5,5,10,3,0.7,sqrt,93.892002734108,89.30333817126271,94.00343859982672,89.2522046265408
125,5,5,10,3,0.7,log2,92.65254044201413,85.10159651669088,92.69004008605123,85.22678505364411
126,5,5,10,3,0.9,sqrt,94.37229437229438,86.61828737300435,94.511242606946,86.881030213617
127,5,5,10,3,0.9,log2,94.08521303258146,87.01741654571845,94.23311730011645,87.36416512980566
128,5,5,11,1,0.7,sqrt,95.70790612895877,85.89259796806968,95.75895737279524,86.44034495055557
129,5,5,11,1,0.7,log2,95.99362041467305,89.31059506531204,96.01599748153605,89.46525553336699
130,5,5,11,1,0.9,sqrt,97.04215083162453,90.4499274310595,97.03552048595813,90.69877233339382
131,5,5,11,1,0.9,log2,97.13647755753018,89.70246734397678,97.18821665141091,90.01704737839191
132,5,5,11,3,0.7,sqrt,92.36500341763498,85.89259796806968,92.4782420649474,86.08596536162398
133,5,5,11,3,0.7,log2,93.03212576896789,87.04644412191583,93.08904818576897,87.42411584516849
134,5,5,11,3,0.9,sqrt,95.60993392572341,87.4310595065312,95.66622129808104,87.55913476501712
135,5,5,11,3,0.9,log2,93.89245841877421,85.48621190130623,94.01477246895246,86.01102405661977
136,5,5,12,1,0.7,sqrt,95.22761449077238,87.01015965166908,95.28001737967632,86.94787508495206
137,5,5,12,1,0.7,log2,95.13374344953294,88.15674891146588,95.2089690324731,88.50028635530126
138,5,5,12,1,0.9,sqrt,97.32832080200502,86.2844702467344,97.35312527944201,86.93001143293921
139,5,5,12,1,0.9,log2,96.27705627705629,88.54862119013063,96.33965012782335,88.91442539585539
140,5,5,12,3,0.7,sqrt,93.69924812030077,83.20029027576197,93.79110233110153,83.8856229639191
141,5,5,12,3,0.7,log2,93.41626794258374,84.36865021770681,93.51016213277333,84.48202833508161
142,5,5,12,3,0.9,sqrt,94.9419002050581,87.79390420899855,95.01259132050713,88.1421259971409
143,5,5,12,3,0.9,log2,94.46570972886764,86.65457184325109,94.55126692678257,86.82378795879939
144,5,5,13,1,0.7,sqrt,95.51332877648667,87.01015965166908,95.60992813628506,87.37458320854546
145,5,5,13,1,0.7,log2,95.13511050353156,86.64731494920174,95.15286408421801,86.93765493765493
146,5,5,13,1,0.9,sqrt,96.84985190248348,88.53410740203194,96.87275711080906,88.84003627399855
147,5,5,13,1,0.9,log2,96.47072226019594,87.03918722786648,96.48636279171828,87.13786213786211
148,5,5,13,3,0.7,sqrt,93.22579175210755,85.88534107402033,93.28782900462318,85.48433056199173
149,5,5,13,3,0.7,log2,94.37092731829576,89.31059506531206,94.42684028300468,89.55310587386059
150,5,5,13,3,0.9,sqrt,94.75051264524949,85.87808417997097,94.83427612054328,86.11838835019428
151,5,5,13,3,0.9,log2,94.56231487810436,87.7866473149492,94.689764999716,88.12686571270658
152,5,5,14,1,0.7,sqrt,95.99270904534063,87.42380261248186,96.04756295274761,87.74221370958148
153,5,5,14,1,0.7,log2,96.08794714057872,85.88534107402032,96.14837658391477,86.53078447299262
